*ROUTINGS (Product, User Defined, Part, Flow% , From, Method, Container, Containers/Trip, Parts/Container, To, Via Loc, Via Method, Via Containers/Trip, Description), From Load (sec), To Unload (sec), Via Unload (sec), Via Load (sec), Dist (mm), Eff Dist (mm), Freq, L/UL Time (secs), Travel Time (secs), Via Dist (mm), Via Eff Dist (mm), Via Freq, Via L/UL Time (mins), Via Travel Time (mins)), Volume, Process/Walk/Dist
Grill,,ControlPanel,100,Pa,Forklift,Pallet,3,500,S2,,,0,,,,,,104.8278,139.7704,2217.984,30,0.00465901333333333,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S2,Forklift,Pallet,3,500,S,,,0,,,,,,56.4,75.2001,2217.984,30,0.00250667,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D3,,,0,,,,,,28.5522,38.0696,2217.984,30,0.00126898666666667,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D4,,,0,,,,,,30.5276,40.7034,2217.984,30,0.00135678,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D5,,,0,,,,,,32.6032,43.471,2217.984,30,0.00144903333333333,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D6,,,0,,,,,,35.9541,47.9388,2217.984,30,0.00159796,0,0,0,0,0,0,30.00
Grill,,ControlPanel,100,S,Forklift,Pallet,3,500,D7,,,0,,,,,,46.0804,61.4406,2217.984,30,0.00204802,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,D1,Forklift,Pallet,3,2000,R,,,0,,,,,,22.6541,30.2055,2217.984,30,0.00100685,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,D2,Forklift,Pallet,3,2000,R,,,0,,,,,,29.2395,38.986,2217.984,30,0.00129953333333333,0,0,0,0,0,0,30.00
Grill,,WoodSlats,100,R,Forklift,Pallet,3,2000,I,,,0,,,,,,32.8937,43.8583,2217.984,30,0.00146194333333333,0,0,0,0,0,0,30.00
